,index,STATION_NAME,PARAMETER,RAW_VALUE
151,2000-06-01,Burnaby,PM10,13.011963406052075
182,2000-07-01,Burnaby,PM10,12.523943661971831
212,2000-08-01,Burnaby,PM10,14.73369199731002
244,2000-09-01,Burnaby,PM10,15.171646977067407
274,2000-10-01,Burnaby,PM10,14.565948855989232
304,2000-11-01,Burnaby,PM10,14.084379358437936
335,2000-12-01,Burnaby,PM10,13.017111567419576
366,2001-01-01,Burnaby,PM10,11.350404312668463
397,2001-02-01,Burnaby,PM10,11.540950455005056
428,2001-03-01,Burnaby,PM10,10.924305555555556
460,2001-04-01,Burnaby,PM10,12.200566973777462
492,2001-05-01,Burnaby,PM10,13.753028263795423
523,2001-06-01,Burnaby,PM10,11.32277081798084
553,2001-07-01,Burnaby,PM10,13.994587280108254
583,2001-08-01,Burnaby,PM10,14.379240162822253
617,2001-09-01,Burnaby,PM10,14.164220824598184
651,2001-10-01,Burnaby,PM10,11.471749489448605
685,2001-11-01,Burnaby,PM10,10.510593220338983
719,2001-12-01,Burnaby,PM10,8.638984214138642
753,2002-01-01,Burnaby,PM10,7.793814432989691
787,2002-02-01,Burnaby,PM10,9.08641975308642
820,2002-03-01,Burnaby,PM10,9.97911051212938
854,2002-04-01,Burnaby,PM10,12.424284717376134
889,2002-05-01,Burnaby,PM10,11.44633152173913
924,2002-06-01,Burnaby,PM10,13.874559548978153
958,2002-07-01,Burnaby,PM10,15.475287745429926
993,2002-08-01,Burnaby,PM10,18.231657608695652
1028,2002-09-01,Burnaby,PM10,14.3993006993007
1061,2002-10-01,Burnaby,PM10,17.121539500337608
1094,2002-11-01,Burnaby,PM10,15.098591549295774
1128,2002-12-01,Burnaby,PM10,10.98136645962733
1163,2003-01-01,Burnaby,PM10,11.197478991596638
1198,2003-02-01,Burnaby,PM10,11.454681647940076
5952,2003-02-01,Burnaby,PM25,6.3822222222222225
1233,2003-03-01,Burnaby,PM10,9.107575757575757
5970,2003-03-01,Burnaby,PM25,3.1858887381275443
1268,2003-04-01,Burnaby,PM10,9.23583569405099
5988,2003-04-01,Burnaby,PM25,3.9104895104895103
1303,2003-05-01,Burnaby,PM10,14.035664335664336
6006,2003-05-01,Burnaby,PM25,5.763122476446837
1338,2003-06-01,Burnaby,PM10,17.11807580174927
6023,2003-06-01,Burnaby,PM25,6.207964601769912
1373,2003-07-01,Burnaby,PM10,15.731740614334472
6040,2003-07-01,Burnaby,PM25,6.188718662952646
1408,2003-08-01,Burnaby,PM10,17.803496503496504
6058,2003-08-01,Burnaby,PM25,7.462686567164179
1443,2003-09-01,Burnaby,PM10,15.881969587255611
6076,2003-09-01,Burnaby,PM25,6.199567723342939
1478,2003-10-01,Burnaby,PM10,13.366101694915255
6094,2003-10-01,Burnaby,PM25,6.237002025658339
1513,2003-11-01,Burnaby,PM10,12.370731707317074
6112,2003-11-01,Burnaby,PM25,6.392633773453787
1547,2003-12-01,Burnaby,PM10,9.23835246455098
6130,2003-12-01,Burnaby,PM25,3.722297297297297
1582,2004-01-01,Burnaby,PM10,8.798639455782313
6148,2004-01-01,Burnaby,PM25,3.1120162932790225
1617,2004-02-01,Burnaby,PM10,10.57109915449654
6166,2004-02-01,Burnaby,PM25,4.047516198704104
1651,2004-03-01,Burnaby,PM10,10.607167004732927
6185,2004-03-01,Burnaby,PM25,4.115176151761518
1686,2004-04-01,Burnaby,PM10,13.053846153846154
6204,2004-04-01,Burnaby,PM25,4.849056603773585
1721,2004-05-01,Burnaby,PM10,12.774932614555256
6223,2004-05-01,Burnaby,PM25,5.072690217391305
1756,2004-06-01,Burnaby,PM10,15.41415557112824
6242,2004-06-01,Burnaby,PM25,5.876655052264808
1791,2004-07-01,Burnaby,PM10,16.33071988595866
6261,2004-07-01,Burnaby,PM25,6.531448763250883
1826,2004-08-01,Burnaby,PM10,14.120026972353338
6281,2004-08-01,Burnaby,PM25,5.843413978494624
1861,2004-09-01,Burnaby,PM10,14.389238294898671
6301,2004-09-01,Burnaby,PM25,6.126740947075209
1896,2004-10-01,Burnaby,PM10,14.920462270564242
6321,2004-10-01,Burnaby,PM25,6.178211163416274
1931,2004-11-01,Burnaby,PM10,11.031802120141343
6341,2004-11-01,Burnaby,PM25,4.657839721254355
1966,2004-12-01,Burnaby,PM10,10.345503718728871
6361,2004-12-01,Burnaby,PM25,4.432123655913978
2001,2005-01-01,Burnaby,PM10,12.558783783783785
6381,2005-01-01,Burnaby,PM25,4.581144781144781
2036,2005-02-01,Burnaby,PM10,14.777945619335348
6401,2005-02-01,Burnaby,PM25,6.116902457185406
2072,2005-03-01,Burnaby,PM10,10.349075975359343
6422,2005-03-01,Burnaby,PM25,3.458950201884253
2109,2005-04-01,Burnaby,PM10,11.338935574229692
6444,2005-04-01,Burnaby,PM25,4.07033426183844
2146,2005-05-01,Burnaby,PM10,13.455962059620596
6466,2005-05-01,Burnaby,PM25,5.751864406779661
2181,2005-06-01,Burnaby,PM10,11.552134359692092
6488,2005-06-01,Burnaby,PM25,4.245650661099513
2218,2005-07-01,Burnaby,PM10,14.330169491525425
6510,2005-07-01,Burnaby,PM25,5.08991825613079
2255,2005-08-01,Burnaby,PM10,17.04237867395762
6532,2005-08-01,Burnaby,PM25,7.549059139784946
2292,2005-09-01,Burnaby,PM10,15.274564459930314
6554,2005-09-01,Burnaby,PM25,6.716771050800278
2329,2005-10-01,Burnaby,PM10,10.96221322537112
6576,2005-10-01,Burnaby,PM25,4.488559892328398
2366,2005-11-01,Burnaby,PM10,10.22743177046886
6598,2005-11-01,Burnaby,PM25,5.137186629526463
2402,2005-12-01,Burnaby,PM10,11.179919137466307
6620,2005-12-01,Burnaby,PM25,5.042367182246133
2438,2006-01-01,Burnaby,PM10,7.645791245791246
6642,2006-01-01,Burnaby,PM25,2.4259634888438133
2474,2006-02-01,Burnaby,PM10,10.415235250186706
6664,2006-02-01,Burnaby,PM25,3.6674107142857144
2510,2006-03-01,Burnaby,PM10,8.738336713995944
6686,2006-03-01,Burnaby,PM25,2.6024423337856173
2546,2006-04-01,Burnaby,PM10,11.767732962447845
6708,2006-04-01,Burnaby,PM25,4.126388888888889
2582,2006-05-01,Burnaby,PM10,14.588315217391305
6730,2006-05-01,Burnaby,PM25,5.4372858122001375
2618,2006-06-01,Burnaby,PM10,13.665271966527197
6752,2006-06-01,Burnaby,PM25,4.616246498599439
2654,2006-07-01,Burnaby,PM10,16.670485175202156
6774,2006-07-01,Burnaby,PM25,6.072248480756246
2690,2006-08-01,Burnaby,PM10,16.32996632996633
6796,2006-08-01,Burnaby,PM25,5.9226630800269
2726,2006-09-01,Burnaby,PM10,17.527196652719667
6818,2006-09-01,Burnaby,PM25,7.362177250523377
2761,2006-10-01,Burnaby,PM10,14.78148400272294
6840,2006-10-01,Burnaby,PM25,6.342194955691888
2797,2006-11-01,Burnaby,PM10,9.052192066805846
6865,2006-11-01,Burnaby,PM25,3.41875
2832,2006-12-01,Burnaby,PM10,9.072678331090176
6891,2006-12-01,Burnaby,PM25,3.5333782872555632
2866,2007-01-01,Burnaby,PM10,10.123056118999324
6917,2007-01-01,Burnaby,PM25,4.443097643097643
2902,2007-02-01,Burnaby,PM10,8.682563338301044
6943,2007-02-01,Burnaby,PM25,3.0885416666666665
2938,2007-03-01,Burnaby,PM10,8.165094339622641
6969,2007-03-01,Burnaby,PM25,2.2629455279085406
2974,2007-04-01,Burnaby,PM10,10.11142061281337
6995,2007-04-01,Burnaby,PM25,3.511871508379888
3011,2007-05-01,Burnaby,PM10,14.309878213802437
7022,2007-05-01,Burnaby,PM25,5.212305611899932
3048,2007-06-01,Burnaby,PM10,11.630492957746467
7048,2007-06-01,Burnaby,PM25,4.072587412587408
3085,2007-07-01,Burnaby,PM10,13.764741847826093
7076,2007-07-01,Burnaby,PM25,4.7155525238744875
3121,2007-08-01,Burnaby,PM10,13.752972972972978
7104,2007-08-01,Burnaby,PM25,4.443876177658146
3157,2007-09-01,Burnaby,PM10,13.058141160027928
7132,2007-09-01,Burnaby,PM25,4.366808813077469
3192,2007-10-01,Burnaby,PM10,11.378354686446391
7160,2007-10-01,Burnaby,PM25,4.528581035642232
3229,2007-11-01,Burnaby,PM10,10.978840782122917
7189,2007-11-01,Burnaby,PM25,4.574877878576419
3266,2007-12-01,Burnaby,PM10,8.440219629375445
7218,2007-12-01,Burnaby,PM25,3.200943396226418
3302,2008-01-01,Burnaby,PM10,8.40742240215924
7247,2008-01-01,Burnaby,PM25,2.7953991880920133
3338,2008-02-01,Burnaby,PM10,9.810159651669073
7276,2008-02-01,Burnaby,PM25,3.4196363636363643
3375,2008-03-01,Burnaby,PM10,8.888813096862192
7305,2008-03-01,Burnaby,PM25,2.6235494880546057
3411,2008-04-01,Burnaby,PM10,10.73558495821726
7334,2008-04-01,Burnaby,PM25,3.7428671820098423
3448,2008-05-01,Burnaby,PM10,14.416565246788364
7363,2008-05-01,Burnaby,PM25,5.365855307640296
3483,2008-06-01,Burnaby,PM10,12.361009817671812
7392,2008-06-01,Burnaby,PM25,4.358333333333337
3519,2008-07-01,Burnaby,PM10,16.777499999999996
7421,2008-07-01,Burnaby,PM25,5.883423180592987
3555,2008-08-01,Burnaby,PM10,13.393698630136969
7450,2008-08-01,Burnaby,PM25,4.619054054054048
3591,2008-09-01,Burnaby,PM10,16.245199719691666
7478,2008-09-01,Burnaby,PM25,6.17365101611774
3628,2008-10-01,Burnaby,PM10,13.312813559322034
7506,2008-10-01,Burnaby,PM25,5.240982503364732
3665,2008-11-01,Burnaby,PM10,8.984867503486742
7533,2008-11-01,Burnaby,PM25,2.8838082001389873
3702,2008-12-01,Burnaby,PM10,9.271515975526858
7560,2008-12-01,Burnaby,PM25,3.676249144421627
3739,2009-01-01,Burnaby,PM10,11.597306397306376
7588,2009-01-01,Burnaby,PM25,5.305604321404458
3775,2009-02-01,Burnaby,PM10,11.168731343283575
7616,2009-02-01,Burnaby,PM25,3.4684523809523786
3811,2009-03-01,Burnaby,PM10,8.716838487972502
7644,2009-03-01,Burnaby,PM25,2.4924567474048462
3847,2009-04-01,Burnaby,PM10,10.907028531663169
7674,2009-04-01,Burnaby,PM25,4.22846207376479
3883,2009-05-01,Burnaby,PM10,11.00020229265003
7704,2009-05-01,Burnaby,PM25,4.021780175320297
3919,2009-06-01,Burnaby,PM10,15.915390070921982
7734,2009-06-01,Burnaby,PM25,6.594703832752609
3954,2009-07-01,Burnaby,PM10,17.027771911298824
7764,2009-07-01,Burnaby,PM25,7.646799724707509
3989,2009-08-01,Burnaby,PM10,16.63026792179581
7795,2009-08-01,Burnaby,PM25,7.5407407407407465
4023,2009-09-01,Burnaby,PM10,14.297514204545458
7825,2009-09-01,Burnaby,PM25,5.36022487702038
4056,2009-10-01,Burnaby,PM10,10.777002053388083
7854,2009-10-01,Burnaby,PM25,3.978278688524585
4090,2009-11-01,Burnaby,PM10,7.9156381486676075
7885,2009-11-01,Burnaby,PM25,2.401748251748251
4124,2009-12-01,Burnaby,PM10,10.685627530364366
7916,2009-12-01,Burnaby,PM25,4.413427800269901
4158,2010-01-01,Burnaby,PM10,5.25
7947,2010-01-01,Burnaby,PM25,2.82735274204469
7978,2010-02-01,Burnaby,PM25,2.6044742729306485
8009,2010-03-01,Burnaby,PM25,2.7295093795093783
8040,2010-04-01,Burnaby,PM25,3.0903155603917285
8072,2010-05-01,Burnaby,PM25,3.6814016172506707
8104,2010-06-01,Burnaby,PM25,4.026378227494768
8138,2010-07-01,Burnaby,PM25,6.024193548387093
8172,2010-08-01,Burnaby,PM25,7.489925625422597
8206,2010-09-01,Burnaby,PM25,3.171008403361344
8241,2010-10-01,Burnaby,PM25,4.793075356415479
8274,2010-11-01,Burnaby,PM25,2.9967537050105872
8307,2010-12-01,Burnaby,PM25,2.105385139740967
8339,2011-01-01,Burnaby,PM25,2.6167907921462423
8373,2011-02-01,Burnaby,PM25,2.659940431868949
8408,2011-03-01,Burnaby,PM25,2.3436002737850807
8443,2011-04-01,Burnaby,PM25,3.0315346881569694
8478,2011-05-01,Burnaby,PM25,3.7326585695006704
8512,2011-06-01,Burnaby,PM25,4.032981715893105
8545,2011-07-01,Burnaby,PM25,3.9580363147276363
8577,2011-08-01,Burnaby,PM25,5.070698924731178
8610,2011-09-01,Burnaby,PM25,4.737668798862825
8643,2011-10-01,Burnaby,PM25,4.834233625928426
8677,2011-11-01,Burnaby,PM25,3.0160614525139637
8711,2011-12-01,Burnaby,PM25,4.022410291130668
8747,2012-01-01,Burnaby,PM25,2.614499659632399
8783,2012-02-01,Burnaby,PM25,2.622062004325886
8819,2012-03-01,Burnaby,PM25,2.2643448275862044
8854,2012-04-01,Burnaby,PM25,3.8193406593406576
8889,2012-05-01,Burnaby,PM25,4.256165311653123
8924,2012-06-01,Burnaby,PM25,3.2031534688157013
8958,2012-07-01,Burnaby,PM25,5.899259259259254
8992,2012-08-01,Burnaby,PM25,5.616885813148779
9026,2012-09-01,Burnaby,PM25,6.441841004184099
9060,2012-10-01,Burnaby,PM25,4.1677551020408155
9094,2012-11-01,Burnaby,PM25,3.4068245125348136
9128,2012-12-01,Burnaby,PM25,2.295646258503399
9162,2013-01-01,Burnaby,PM25,7.440161725067387
9196,2013-02-01,Burnaby,PM25,5.773660714285709
9230,2013-03-01,Burnaby,PM25,4.96807065217391
9264,2013-04-01,Burnaby,PM25,4.510098176718092
9298,2013-05-01,Burnaby,PM25,5.3498644986449895
9333,2013-06-01,Burnaby,PM25,4.761166429587482
9367,2013-07-01,Burnaby,PM25,6.76053333333332
9400,2013-08-01,Burnaby,PM25,5.133378932968538
9434,2013-09-01,Burnaby,PM25,5.7189873417721495
9468,2013-10-01,Burnaby,PM25,7.643013698630141
9502,2013-11-01,Burnaby,PM25,6.668475991649274
9536,2013-12-01,Burnaby,PM25,5.735155195681498
9570,2014-01-01,Burnaby,PM25,7.1420656634747015
9604,2014-02-01,Burnaby,PM25,5.495134730538921
9639,2014-03-01,Burnaby,PM25,4.793822923816064
9674,2014-04-01,Burnaby,PM25,4.788928067700987
9709,2014-05-01,Burnaby,PM25,6.040837696335081
9744,2014-06-01,Burnaby,PM25,5.755802640722729
9779,2014-07-01,Burnaby,PM25,6.9214670255720145
9814,2014-08-01,Burnaby,PM25,9.586940966010742
9850,2014-09-01,Burnaby,PM25,6.501841359773373
9886,2014-10-01,Burnaby,PM25,5.061544715447159
9922,2014-11-01,Burnaby,PM25,7.590992907801421
9958,2014-12-01,Burnaby,PM25,6.168605466012609
9994,2015-01-01,Burnaby,PM25,6.170083682008368
10030,2015-02-01,Burnaby,PM25,5.53487332339791
10066,2015-03-01,Burnaby,PM25,6.223097826086972
10103,2015-04-01,Burnaby,PM25,5.604146170063251
10139,2015-05-01,Burnaby,PM25,8.050810810810809
10174,2015-06-01,Burnaby,PM25,7.042668519805426
10207,2015-07-01,Burnaby,PM25,11.197308488612832
10240,2015-08-01,Burnaby,PM25,7.702133712660019
10274,2015-09-01,Burnaby,PM25,5.587473610133707
10309,2015-10-01,Burnaby,PM25,8.018700927908633
10344,2015-11-01,Burnaby,PM25,6.2338440111420645
10379,2015-12-01,Burnaby,PM25,3.8838994565217404
10414,2016-01-01,Burnaby,PM25,4.856685633001428
10449,2016-02-01,Burnaby,PM25,4.258453757225441
10484,2016-03-01,Burnaby,PM25,3.6376016260162567
10518,2016-04-01,Burnaby,PM25,6.3122613803230525
10552,2016-05-01,Burnaby,PM25,5.485931558935354
10586,2016-06-01,Burnaby,PM25,4.833755274261605
10620,2016-07-01,Burnaby,PM25,5.037019230769243
10653,2016-08-01,Burnaby,PM25,5.17326130992573
10686,2016-09-01,Burnaby,PM25,4.473136427566808
10719,2016-10-01,Burnaby,PM25,3.2355343771273004
10752,2016-11-01,Burnaby,PM25,2.9361837455830315
10785,2016-12-01,Burnaby,PM25,4.634248455730961
10818,2017-01-01,Burnaby,PM25,3.9000000000000004
2,2000-01-01,Burns Lake,PM10,13.577105121293785
